"id","created_at","updated_at","user_id","account_id","card_id","merchant_name","amount","transaction_type","category","description","transaction_date","is_recurring"
"1","2025-03-25 14:49:04.432968","2025-03-25 14:49:04.432968","1","1","1","Publix","931.0075163476406","credit","essential","Every market put.","2025-01-21 10:09:47.000000","0"
"2","2025-03-25 14:49:04.432968","2025-03-25 14:49:04.432968","1","1","3","Staples","2811.6789954475103","credit","business","Enter each economic fear reduce apply above.","2025-01-30 16:42:07.000000","1"
"3","2025-03-25 14:49:04.432968","2025-03-25 14:49:04.432968","1","2","3","Home Depot","506.72583917986066","debit","shopping","Term trip amount direction pick course foot.","2025-01-22 01:56:59.000000","0"
"4","2025-03-25 14:49:04.432968","2025-03-25 14:49:04.432968","1","2","3","Office Depot","4985.70440969529","credit","business","Political themselves student pretty detail reveal international.","2025-03-18 17:13:41.000000","0"
"5","2025-03-25 14:49:04.432968","2025-03-25 14:49:04.432968","1","2","2","Emirates","640605.4411387838","credit","international_travel","Certain bring morning social great either hold.","2025-01-31 13:51:19.000000","0"
"6","2025-03-25 14:49:04.432968","2025-03-25 14:49:04.432968","1","1","1","Hermès","391.2758924452","debit","luxury","Job culture black for program provide analysis food.","2025-03-09 10:52:54.000000","0"
"7","2025-03-25 14:49:04.432968","2025-03-25 14:49:04.432968","1","1","1","Air France","493744.9945014127","debit","international_travel","Central PM process open.","2025-01-26 21:50:52.000000","0"
"8","2025-03-25 14:49:04.432968","2025-03-25 14:49:04.432968","1","1","1","Office Depot","1644.5185377311493","debit","business","Manage scientist peace quickly poor.","2025-01-19 04:22:31.000000","1"
"9","2025-03-25 14:49:04.433969","2025-03-25 14:49:04.433969","1","1","3","Home Depot","117.46245439058468","credit","shopping","While see both city.","2025-01-09 02:36:20.000000","0"
"10","2025-03-25 14:49:04.433969","2025-03-25 14:49:04.433969","1","2","3","Chipotle","824424.81227784313904","credit","dining","None upon reason agreement upon stock.","2025-03-23 18:44:51.000000","0"
"11","2025-03-25 14:49:04.433969","2025-03-25 14:49:04.433969","1","2","1","American Airlines","2552.558235349156","debit","domestic_travel","Fact phone information road grow.","2025-02-11 14:49:17.000000","0"
"12","2025-03-25 14:49:04.433969","2025-03-25 14:49:04.433969","1","1","3","Cartier","773.6382837713","credit","luxury","Effect check available alone.","2025-01-21 18:55:57.000000","0"
"13","2025-03-25 14:49:04.433969","2025-03-25 14:49:04.433969","1","2","1","Staples","4452.367825074755","credit","business","Employee their policy level success local.","2025-03-16 16:50:56.000000","1"
"14","2025-03-25 14:49:04.433969","2025-03-25 14:49:04.433969","1","1","2","Marriott","148386.394464233554","debit","domestic_travel","Style seat send tough gas theory the help.","2025-03-24 01:48:34.000000","0"
"15","2025-03-25 14:49:04.433969","2025-03-25 14:49:04.433969","1","1","2","Publix","380.0003029436351","credit","essential","Learn matter hand up mother less word.","2025-01-10 16:07:30.000000","0"
