customer_id,transaction_id,amount,date,isdomestic,current_limit,overdue,Category
25d6d1a0-508f-4866-b116-f4cb9300601a,1eacd89f-bb23-4a17-8e9c-243bc265fdae,446.38,2024-09-21 09:28:42,1,43377.24,0,Entertainments
25d6d1a0-508f-4866-b116-f4cb9300601a,343f898c-424a-407f-b95c-14ff01229f73,468.06,2024-08-23 02:46:33,1,23260.99,1,International shopping
25d6d1a0-508f-4866-b116-f4cb9300601a,bd330369-1d96-43d6-a03d-585bb09d18e4,282.67,2024-06-12 10:02:26,0,42426.55,0,Essenatial shopping
aa971369-33c4-4ed6-a676-ecee6cd6dd5d,61fd0abd-5862-4a71-b787-b0ca9ef91689,587.66,2025-02-18 00:40:06,0,15675.13,1,Essenatial shopping
aa971369-33c4-4ed6-a676-ecee6cd6dd5d,ab1f9bcd-a734-4027-a35f-56c7d0530137,535.6,2024-05-17 10:13:18,0,17277.69,0,Essenatial shopping
aa971369-33c4-4ed6-a676-ecee6cd6dd5d,7f3c961b-e4d9-41c4-bdcc-cd90a069ab35,478.35,2025-01-08 20:39:33,1,38643.98,0,Entertainments
f62d0a10-c4be-4ad1-b893-1260c14b610c,de4b9966-1fe0-4f13-8979-9c82f1478e44,47.34,2024-03-24 17:30:56,0,19803.22,1,Essenatial shopping
f62d0a10-c4be-4ad1-b893-1260c14b610c,f7984371-8e98-4a0f-83ae-7475bdc1786b,125.21,2024-07-22 21:09:43,1,15160.19,1,Travel
f62d0a10-c4be-4ad1-b893-1260c14b610c,fd96393f-51e4-4209-a05b-b4cac4d940b4,404.09,2025-03-11 10:24:55,0,40566.48,0,Travel
11fa41e2-2602-49d3-980b-40c85498814a,c8d81a45-1953-4d6c-9fed-c3d2d0b07a34,751.62,2025-01-04 16:58:11,1,17508.59,1,Entertainments
11fa41e2-2602-49d3-980b-40c85498814a,7fe46293-5431-403f-8a41-005c89c48c52,316.61,2024-10-02 17:14:46,0,18227.46,1,Travel
11fa41e2-2602-49d3-980b-40c85498814a,ad22e4fc-8db6-4b5a-a4ca-1ef3af7ebf19,255.22,2024-07-19 15:19:58,1,31122.02,0,Entertainments
60ed53d0-900c-4f25-96bb-daac04934960,46cb0b17-ab5c-4f9b-9dd9-40c2902fd964,980.34,2024-05-29 17:42:18,0,21404.57,1,Entertainments
60ed53d0-900c-4f25-96bb-daac04934960,52e216f0-68b0-48b3-a00a-c7233aaa8f42,849.52,2024-05-11 10:15:47,0,43004.06,0,Luxury shopping
60ed53d0-900c-4f25-96bb-daac04934960,0a099fe2-77d1-415d-84d1-594ff895d4f0,483.84,2025-01-25 14:16:03,1,31168.47,1,Luxury shopping
45e468a9-1ebf-4759-9e57-7e52af7027f2,80f75cb9-fab1-4977-80ab-a72ae0f6d5f3,830.0,2024-10-18 00:15:02,0,30080.57,1,Essenatial shopping
45e468a9-1ebf-4759-9e57-7e52af7027f2,6f9f08df-a598-475b-ab19-d0a79beb2fda,49.66,2025-02-25 12:08:30,0,38065.8,1,Essenatial shopping
45e468a9-1ebf-4759-9e57-7e52af7027f2,2a859bef-c91e-40bb-af01-7ea69ba90337,145.75,2024-11-15 07:13:37,1,11122.67,0,Travel
0f72021b-02f9-4f9a-92f3-b286307fcda7,96456c53-153e-4987-9b60-54011ff82a37,569.96,2024-03-28 08:07:59,0,41671.37,1,Essenatial shopping
0f72021b-02f9-4f9a-92f3-b286307fcda7,cc0a9c2a-985b-42de-b24d-c47d3dd7ce30,881.57,2024-12-21 03:19:48,1,15572.5,0,Essenatial shopping
0f72021b-02f9-4f9a-92f3-b286307fcda7,2160d5b0-3e79-40a8-9a0b-17c262ff5774,843.64,2024-10-09 15:11:36,0,21551.66,1,Essenatial shopping
d02b549a-8bf2-4db1-a031-6002b92cd596,d13a86dc-9d01-49ef-bee9-0d04664f2c39,999.49,2024-09-15 13:02:24,1,43527.11,0,Essenatial shopping
d02b549a-8bf2-4db1-a031-6002b92cd596,517c3c9a-615e-48db-8a67-63c64edc87f4,956.0,2025-03-10 15:43:51,1,22916.19,0,Essenatial shopping
d02b549a-8bf2-4db1-a031-6002b92cd596,e115bf35-9dd4-4fda-98cf-6df5a0b50ca5,849.92,2024-05-21 04:41:57,1,18809.83,0,Essenatial shopping
facb64a4-ea91-454b-9ac6-6c57b835e14f,849e4b08-d5c6-438e-a9fa-a65891fda525,406.53,2025-02-22 08:13:54,1,33392.7,0,International shopping
facb64a4-ea91-454b-9ac6-6c57b835e14f,23ba211a-6ec1-4ce7-9183-359f2e99955a,980.04,2024-12-18 05:17:00,1,30169.66,1,Essenatial shopping
facb64a4-ea91-454b-9ac6-6c57b835e14f,120b037a-9336-45e4-9139-6be33efb88e7,942.97,2024-04-06 02:24:24,1,33089.6,0,Luxury shopping
8e2f6a23-686d-4cfb-bc4b-0c1afc32aa66,1ffd28e0-8baa-451f-9308-88ba99f5aa63,481.92,2024-06-02 02:36:58,0,48866.67,0,Essenatial shopping
8e2f6a23-686d-4cfb-bc4b-0c1afc32aa66,9daeb736-cac6-46f8-800b-2663e8408fc1,694.1,2024-05-22 17:47:49,1,46981.48,1,Entertainments
